Name ,Status,Date of Classification
Acacia cretacea,Endangered,16-Jul-00
Acacia enterocarpa,Endangered,16-Jul-00
Acacia gordonii,Endangered,16-Jul-00
Acacia imitans,Endangered,8-Jan-09
Acacia insolita subsp. recurva,Endangered,16-Jul-00
Acacia lanigera var. gracilipes,Endangered,7-Sep-23
Acacia lanuginophylla,Endangered,16-Jul-00
Acacia leptalea,Endangered,16-Jul-00
Acacia lobulata,Endangered,16-Jul-00
Acacia meiantha,Endangered,11-May-18
Acacia pharangites,Endangered,16-Jul-00
Acacia pinguifolia,Endangered,16-Jul-00
Acacia porcata,Endangered,16-Jul-00
Acacia pygmaea,Endangered,16-Jul-00
Acacia recurvata,Endangered,16-Jul-00
Acacia rhamphophylla,Endangered,16-Jul-00
Acacia ruppii,Endangered,16-Jul-00
Acacia sciophanes,Endangered,16-Jul-00
Acacia spilleriana,Endangered,24-Dec-09
Acacia splendens,Endangered,16-Jul-00
Acacia subflexuosa subsp. capillata,Endangered,16-Jul-00
Acacia terminalis subsp. terminalis MS = Acacia terminalis subsp. Eastern Sydney (G.P.Phillips 126),Endangered,16-Jul-00
Acacia vassalii,Endangered,16-Jul-00
Acacia volubilis,Endangered,16-Jul-00
Acacia whibleyana,Endangered,16-Jul-00
Acacia wilsonii,Endangered,11-May-18
Acacia woodmaniorum,Endangered,4-Jul-19
Acronychia littoralis,Endangered,16-Jul-00
Adenanthos dobagii,Endangered,16-Jul-00
Adenanthos eyrei,Endangered,16-Jul-00
Adenanthos pungens subsp. effusus,Endangered,16-Jul-00
Adenanthos velutinus,Endangered,16-Jul-00
Alectryon ramiflorus,Endangered,16-Jul-00
Allocasuarina defungens,Endangered,16-Jul-00
Allocasuarina emuina,Endangered,16-Jul-00
Allocasuarina glareicola,Endangered,16-Jul-00
Allocasuarina portuensis,Endangered,16-Jul-00
Allocasuarina robusta,Endangered,27-Nov-06
Allocasuarina thalassoscopica,Endangered,16-Jul-00
Almaleea cambagei,Endangered,15-Nov-23
Amyema plicatula,Endangered,16-Jul-00
Andersonia gracilis,Endangered,16-Jul-00
Androcalva perlaria,Endangered,4-Jul-19
Androcalva rosea,Endangered,8-Jan-08
Anigozanthos bicolor subsp. minor,Endangered,16-Jul-00
Aponogeton bullosus,Endangered,16-Jul-00
Aponogeton prolifer,Endangered,16-Jul-00
Archontophoenix myolensis,Endangered,16-Jul-00
Aristida granitica,Endangered,16-Jul-00
Asterolasia elegans,Endangered,16-Jul-00
Astrotricha roddii,Endangered,16-Jul-00
Astrotricha sp. Wingan Inlet (J.A.Jeanes 2268),Endangered,7-Sep-23
Atalaya collina,Endangered,16-Jul-00
Atriplex yeelirrie,Endangered,22-Oct-15
Austrostipa bronwenae = Austrostipa bronweniae,Endangered,15-Feb-18
Austrostipa wakoolica,Endangered,16-Jul-00
Baeckea kandos,Endangered,16-Jul-00
Ballantinia antipoda,Endangered,16-Jul-00
Banksia cuneata,Endangered,16-Jul-00
Banksia ionthocarpa,Endangered,16-Jul-00
Banksia mimica,Endangered,16-Jul-00
Banksia nivea subsp. uliginosa,Endangered,16-Jul-00
Banksia oligantha,Endangered,16-Jul-00
Banksia penicillata,Endangered,4-Sep-24
Banksia pseudoplumosa,Endangered,8-Jan-09
Banksia rufa subsp. pumila,Endangered,11-May-18
Barbarea australis,Endangered,24-Jan-14
Bertya granitica,Endangered,16-Jul-00
Bertya ingramii,Endangered,16-Jul-00
Bertya mollissima,Endangered,31-Mar-23
Bertya sp. Clouds Creek (M.Fatemi 4),Endangered,5-Oct-22
Bertya tasmanica subsp. tasmanica,Endangered,6-Jun-05
Beyeria lepidopetala,Endangered,16-Jul-00
Blechnum norfolkianum,Endangered,25-Nov-03
Boronia capitata subsp. capitata,Endangered,16-Jul-00
Boronia clavata,Endangered,8-Jan-09
Boronia deanei subsp. acutifolia,Endangered,5-Mar-25
Boronia deanei subsp. deanei,Endangered,5-Mar-25
Boronia exilis,Endangered,16-Jul-00
Boronia granitica,Endangered,16-Jul-00
Boronia repanda,Endangered,16-Jul-00
Boronia revoluta,Endangered,16-Jul-00
Boronia subulifolia,Endangered,5-Mar-25
Borya mirabilis,Endangered,16-Jul-00
Bossiaea peninsularis,Endangered,7-Dec-16
Bossiaea sp. Frankland (E.M.Sandiford EMS 896),Endangered,4-Jul-19
Brachyscome muelleri,Endangered,16-Jul-00
Burmannia sp. Bathurst Island (R.Fensham 1021) = Burmannia championii,Endangered,16-Jul-00
Caladenia amnicola,Endangered,16-Jul-24
Caladenia amoena,Endangered,16-Jul-00
Caladenia arenaria,Endangered,16-Jul-00
Caladenia argocalla,Endangered,16-Jul-00
Caladenia atroclavia,Endangered,16-Jul-00
Caladenia audasii,Endangered,16-Jul-00
Caladenia barbarella,Endangered,1-Dec-09
Caladenia behrii,Endangered,16-Jul-00
Caladenia bryceana subsp. bryceana,Endangered,16-Jul-00
Caladenia busselliana,Endangered,16-Jul-00
Caladenia caesarea subsp. maritima,Endangered,16-Jul-00
Caladenia colorata,Endangered,16-Jul-00
Caladenia conferta,Endangered,27-Nov-06
Caladenia dienema,Endangered,4-Mar-11
Caladenia dorrienii,Endangered,16-Jul-00
Caladenia drakeoides,Endangered,16-Jul-00
Caladenia elegans,Endangered,16-Jul-00
Caladenia excelsa,Endangered,16-Jul-00
Caladenia fulva,Endangered,16-Jul-00
Caladenia gladiolata,Endangered,16-Jul-00
Caladenia graniticola,Endangered,4-Jul-19
Caladenia granitora,Endangered,11-May-18
Caladenia hastata,Endangered,16-Jul-00
Caladenia hoffmanii,Endangered,16-Jul-00
Caladenia hopperiana,Endangered,15-Feb-18
Caladenia huegelii,Endangered,16-Jul-00
Caladenia leucochila,Endangered,11-May-18
Caladenia lowanensis,Endangered,16-Jul-00
Caladenia macroclavia,Endangered,16-Jul-00
Caladenia orientalis,Endangered,16-Jul-00
Caladenia ovata,Endangered,5-Mar-25
Caladenia richardsiorum,Endangered,16-Jul-00
Caladenia rigida,Endangered,16-Jul-00
Caladenia robinsonii,Endangered,16-Jul-00
Caladenia rosella,Endangered,16-Jul-00
Caladenia tensa,Endangered,16-Jul-00
Caladenia thysanochila,Endangered,16-Jul-00
Caladenia viridescens,Endangered,16-Jul-00
Caladenia williamsiae,Endangered,18-Aug-06
Caladenia winfieldii,Endangered,16-Jul-00
Caladenia xanthochila,Endangered,16-Jul-00
Caladenia xantholeuca,Endangered,16-Jul-00
Callitris oblonga subsp. oblonga,Endangered,16-Jul-00
Calochilus psednus,Endangered,16-Jul-00
Calochilus pulchellus,Endangered,5-Oct-22
Calochilus richiae,Endangered,16-Jul-00
Calotis moorei,Endangered,16-Jul-00
Calytrix breviseta subsp. breviseta,Endangered,16-Jul-00
Carronia pedicellata,Endangered,16-Jul-00
Cassinia heleniae,Endangered,7-Sep-23
Cassinia theodorii,Endangered,5-Mar-25
Centrolepis pedderensis,Endangered,26-Nov-08
Chamelaucium sp. Gingin (N.G.Marchant 6) = Chamelaucium lullfitzii,Endangered,16-Jul-00
Chiloglottis anaticeps,Endangered,5-Oct-22
Chingia australis,Endangered,16-Jul-00
Chordifex abortivus,Endangered,16-Jul-00
Choretrum spicatum subsp. spicatum,Endangered,7-Sep-23
Chorizema humile,Endangered,16-Jul-00
Chorizema varium,Endangered,16-Jul-00
Commersonia erythrogyna,Endangered,16-Jul-00
Commersonia prostrata,Endangered,16-Jul-00
Conospermum densiflorum subsp. unicephalatum,Endangered,16-Jul-00
Conostylis dielsii subsp. teres,Endangered,16-Jul-00
Conostylis drummondii,Endangered,16-Jul-00
Conostylis lepidospermoides,Endangered,16-Jul-00
Conostylis micrantha,Endangered,16-Jul-00
Conostylis misera,Endangered,16-Jul-00
Conostylis seorsiflora subsp. trichophylla,Endangered,16-Jul-00
Conostylis wonganensis,Endangered,16-Jul-00
Coopernookia georgei,Endangered,16-Jul-00
Coprosma baueri,Endangered,25-Nov-03
Coprosma pilosa,Endangered,25-Nov-03
Corchorus cunninghamii,Endangered,16-Jul-00
Corokia whiteana,Endangered,5-Oct-22
Correa eburnea,Endangered,24-Jan-14
Correa lawrenceana var. genoensis,Endangered,16-Jul-00
Corunastylis brachystachya,Endangered,16-Jul-00
Cossinia australiana,Endangered,16-Jul-00
Craspedia preminghana,Endangered,6-Jul-04
Crepidium lawleri = Dienia lawleri,Endangered,16-Jul-00
Cyathea exilis,Endangered,16-Jul-00
Cycas megacarpa,Endangered,16-Jul-00
Cycas ophiolitica,Endangered,16-Jul-00
Cynanchum elegans,Endangered,16-Jul-00
Cyperus cephalotes,Endangered,16-Jul-00
Cyphanthera scabrella,Endangered,5-Sep-25
Daphnandra johnsonii,Endangered,16-Jul-00
Darwinia acerosa,Endangered,16-Jul-00
Darwinia apiculata,Endangered,16-Jul-00
Darwinia carnea,Endangered,16-Jul-00
Darwinia chapmaniana,Endangered,16-Jul-00
Darwinia ferricola,Endangered,16-Jul-00
