"","RegionCentroidLatitude","RegionCentroidLongitude","TaxonID","Binomial","State","MaxStatus"
"148",-33.59852723,138.730096,"p_66331","Pterostylis_despectans","South Australia","Endangered"
"149",-33.52441155,149.7665915,"p_83988","Zieria_obcordata","New South Wales","Endangered"
"150",-33.16202614,150.3893724,"p_1288","Acacia_gordonii","New South Wales","Endangered"
"151",-33.16202614,150.3893724,"p_60529","Persoonia_hindii","New South Wales","Endangered"
"152",-33.16202614,150.3893724,"p_83230","Wollemia_nobilis","New South Wales","Critically Endangered"
"153",-33.16202614,150.3893724,"p_9469","Baeckea_kandos","New South Wales","Endangered"
"154",-33.14247789,149.9850264,"p_39195","Grevillea_obtusiflora","New South Wales","Endangered"
"155",-33.14247789,149.9850264,"p_60584","Persoonia_marginata","New South Wales","Endangered"
"156",-33.14247789,149.9850264,"p_67132","Pultenaea_sp_Genowlan_Point_NSW","New South Wales","Critically Endangered"
"157",-33.10149856,150.9275559,"p_3142","Asterolasia_elegans","New South Wales","Endangered"
"158",-33.10149856,150.9275559,"p_55018","Micromyrtus_blakelyi","New South Wales","Vulnerable"
"159",-33.05792494,119.0261199,"p_30220","Eremophila_subteretifolia","Western Australia","Endangered"
"160",-33.05792494,119.0261199,"p_84523","Caladenia_graniticola","Western Australia","Endangered"
"161",-32.93819303,150.0562368,"p_39195","Grevillea_obtusiflora","New South Wales","Endangered"
"162",-32.62683095,139.5561686,"p_66331","Pterostylis_despectans","South Australia","Endangered"
"163",-32.52013869,151.1890475,"p_66338","Pterostylis_gibbosa","New South Wales","Endangered"
"164",-32.48331644,138.2653766,"p_13938","Caladenia_gladiolata","South Australia","Endangered"
"165",-32.48331644,138.2653766,"p_14006","Caladenia_woolcockiorum","South Australia","Vulnerable"
"166",-32.48331644,138.2653766,"p_3112","Acanthocladium_dockeri","South Australia","Critically Endangered"
"167",-32.48331644,138.2653766,"p_65321","Prasophyllum_pallidum","South Australia","Vulnerable"
"168",-32.48331644,138.2653766,"p_72612","Senecio_megaglossus","South Australia","Vulnerable"
"169",-32.41332852,117.1792762,"p_10001","Banksia_ionthocarpa_subsp_chrysophoenix","Western Australia","Endangered"
"170",-32.41332852,117.1792762,"p_11752","Boronia_capitata_subsp_capitata","Western Australia","Endangered"
"171",-32.41332852,117.1792762,"p_14241","Calectasia_pignattiana","Western Australia","Vulnerable"
"172",-32.41332852,117.1792762,"p_78974","Thomasia_montana","Western Australia","Vulnerable"
"173",-32.41332852,117.1792762,"p_84390","Acacia_insolita_subsp_recurva","Western Australia","Endangered"
"174",-32.36602361,152.2972976,"p_84351","Diuris_flavescens","New South Wales","Critically Endangered"
"175",-31.20398431,151.6700563,"p_22261","Pimelea_cremnophila","New South Wales","Critically Endangered"
"176",-31.20398431,151.6700563,"p_3137","Asterolasia_beckersii","New South Wales","Critically Endangered"
